id,transactionId,deliveryDate,deliveryLocation,numberOfShipments,nopol,notes,status,geom,createdAt,updatedAt,details
c74f9a30-82e5-4487-9566-d66bc8bfaa61,5e346def-98a0-4a9f-ac7d-0794852eb934,2026-03-11 00:00:00,"JL IMOGIRI TIMUR NO 139 C, GIWANGAN, UMBULHARJO, YOGYAKARTA, DIY",3,AB 8446 AY,,PENDING,,2026-03-11 05:14:46.053,2026-03-11 05:14:46.053,Auto generated dari transaksi TRX-2026-00009. Driver: AGUS SUYANTO
1ce2f41b-2a37-4b9f-9d47-51a0a4f86c47,26c03f76-260f-443c-bb11-f80e8988f1eb,2026-03-11 00:00:00,"Jl. Wahid Hasyim No.135, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",6,AB 8098 PK,,PENDING,,2026-03-11 05:22:48.32,2026-03-11 05:22:48.32,Auto generated dari transaksi TRX-2026-00010. Driver: AKHMAD KHOIRUL BARIUSYAFI
7beb6b49-aef8-4d39-83ad-d88e260ac87d,46f1858d-ac29-48bf-840f-051136d3911e,2026-03-11 00:00:00,"JL, KALIURANG, CANDI, SARDONOHARJO, MGAGLIK, SLEMAN",4,AB 8098 PK,,DELIVERED,,2026-03-11 03:55:16.368,2026-03-11 03:57:14.271,Auto generated dari transaksi TRX-2026-00001. Driver: AKHMAD KHOIRUL BARIUSYAFI
c23a26d1-c002-411a-8c00-be58471bee44,046b41b0-e1ae-4743-b09b-fb9b7ebd0455,2026-03-11 00:00:00,Jln plosokunging raya no 99,13,AB 8098 PK,,DELIVERED,,2026-03-11 04:21:40.337,2026-03-11 04:40:48.472,Auto generated dari transaksi TRX-2026-00002. Driver: AKHMAD KHOIRUL BARIUSYAFI
0ed75e57-dd9d-457c-a05e-6484d1838aed,e7066fc8-e784-42a5-b36a-22b9454a53b3,2026-03-11 00:00:00,Alamat tidak tersedia,7,AB 8098 PK,,PENDING,,2026-03-11 04:46:56.906,2026-03-11 04:46:56.906,Auto generated dari transaksi TRX-2026-00003. Driver: AKHMAD KHOIRUL BARIUSYAFI
bd4ec2f7-7002-43ec-a5d4-aab3f5a68c3b,ee622f19-4d12-4976-932e-b06a9708fbc5,2026-03-11 00:00:00,"Jl. Brosot-Nagung No. KM 5 Jogahan, Bumirejo, Lendah. KP",12,AB 8664 CU,,PENDING,,2026-03-11 06:57:38.106,2026-03-11 06:57:38.106,Auto generated dari transaksi TRX-2026-00021. Driver: SUDARYONO
b0690d7d-f687-429f-af24-1992684b5676,7aefb791-4371-4a82-9e36-1193e23bb363,2026-03-11 00:00:00,Caturtungal,3,AB 8098 PK,,PENDING,,2026-03-11 05:59:56.656,2026-03-11 05:59:56.656,Auto generated dari transaksi TRX-2026-00015. Driver: AKHMAD KHOIRUL BARIUSYAFI
607c53d9-055c-40c2-bb25-9f90d48a80bc,fc494580-04f2-4599-bef7-672be684d57e,2026-03-11 00:00:00,TOKO FAI,5,AB 8839 UF,TOKO FAI,DELIVERED,,2026-03-11 04:59:53.323,2026-03-14 15:23:37.479,Auto generated dari transaksi TRX-2026-00005. Driver: LATHIEF NUR S
abf78a9f-204b-44b6-bfd8-a1dc3278ea1d,b501d5ec-0d18-4985-99cb-bb8d97748fdc,2026-03-11 00:00:00,Pangeran,40,AB 8664 CU,,PENDING,,2026-03-11 05:05:39.196,2026-03-11 05:05:39.196,Auto generated dari transaksi TRX-2026-00006. Driver: SUDARYONO
41974393-0333-4dfc-9b52-4b1ed9795be1,6ba807db-2c76-4320-bf98-78a56e48e7c6,2026-03-11 00:00:00,Jl raya.magelang Purworejo kalimas banjarnegoro,998,T 8290 TQ,,PENDING,,2026-03-11 05:11:04.853,2026-03-11 05:11:04.853,Auto generated dari transaksi TRX-2026-00007. Driver: BRUSLI STEVANGGIH
