id,positionId,permissionId
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,2,1
40,2,2
41,2,3
42,2,4
43,2,14
44,2,26
45,2,29
46,2,30
47,2,31
48,2,32
49,2,33
50,2,38
111,3,21
112,3,22
113,3,23
114,3,24
115,3,33
116,3,38
117,3,1
118,3,2
119,3,3
120,3,29
121,3,30
122,3,31
123,3,14
124,3,26
125,3,25
126,3,27
127,3,6
